id,time,time_received,latitude,longitude,altitude,geo_altitude,height,velocity_x,velocity_y,velocity_z,vertical_accuracy,horizontal_accuracy,speed_accuracy,pressure
8115345,2023-04-03 09:02:54+00,2023-04-03 09:02:57.317989+00,50.04108810424805,14.40627384185791,96.76,250,-27.45,0,20,0,4,10,3,1001.6812500000001
8115346,2023-04-03 09:02:55+00,2023-04-03 09:02:57.353294+00,50.0412712097168,14.406302452087402,101.02,250,-23.19,1.8,20,0,4,10,3,1001.1750000000001
8115347,2023-04-03 09:02:56+00,2023-04-03 09:02:57.491859+00,50.04145050048828,14.406344413757324,98.08,250,-26.13,2.8000000000000003,19.8,0,4,10,3,1001.5250000000001
8115348,2023-04-03 09:02:57+00,2023-04-03 09:02:57.613438+00,50.041629791259766,14.406401634216309,97.55,249.5,-26.66,4,19.8,0,4,10,3,1001.5875000000001
8115349,2023-04-03 09:02:58+00,2023-04-03 09:02:58.543503+00,50.041805267333984,14.406477928161621,99.02,249.5,-25.19,5.4,19.6,0,4,10,3,1001.4125
8115350,2023-04-03 09:02:59+00,2023-04-03 09:02:59.596063+00,50.04197692871094,14.406571388244629,102.33,249.5,-21.88,6.4,19.400000000000002,0,4,10,4,1001.0187500000001
8115351,2023-04-03 09:03:00+00,2023-04-03 09:03:01.009104+00,50.04214859008789,14.406678199768066,101.18,249.5,-23.03,7.6000000000000005,18.8,0,4,10,4,1001.15625
8115352,2023-04-03 09:03:01+00,2023-04-03 09:03:01.84789+00,50.04231643676758,14.406798362731934,102.17,249.5,-22.04,8.4,18.6,0,4,10,4,1001.0375
8115353,2023-04-03 09:03:02+00,2023-04-03 09:03:02.924623+00,50.04248046875,14.406928062438965,100.07,249,-24.14,9,18.400000000000002,0,4,10,4,1001.2875
8115354,2023-04-03 09:03:03+00,2023-04-03 09:03:03.657484+00,50.04264450073242,14.407062530517578,97.87,248.5,-26.34,9.4,18.400000000000002,-0.2,4,10,4,1001.5500000000001
8115356,2023-04-03 09:03:04+00,2023-04-03 09:03:05.567744+00,50.04281234741211,14.40719985961914,98.65,248.5,-25.56,9.8,18.400000000000002,-0.2,4,10,4,1001.4562500000001
8115355,2023-04-03 09:03:05+00,2023-04-03 09:03:05.514922+00,50.0429801940918,14.407341003417969,97.66,248,-26.55,10,18.400000000000002,-0.2,4,10,4,1001.575
8115357,2023-04-03 09:03:06+00,2023-04-03 09:03:06.580304+00,50.04314422607422,14.40748119354248,100.44,247.5,-23.77,10,18.400000000000002,-0.2,4,10,4,1001.2437500000001
8115358,2023-04-03 09:03:07+00,2023-04-03 09:03:07.762456+00,50.04330825805664,14.407625198364258,98.39,247,-25.82,10,18.2,-0.2,4,10,3,1001.4875000000001
8115359,2023-04-03 09:03:08+00,2023-04-03 09:03:08.253561+00,50.04347229003906,14.4077730178833,99.49,246,-24.72,10.4,18.2,-0.4,4,10,4,1001.35625
8115360,2023-04-03 09:03:09+00,2023-04-03 09:03:09.814889+00,50.043636322021484,14.407919883728027,94.66,245.5,-29.55,10.4,18,-0.4,4,10,4,1001.9312500000001
8115361,2023-04-03 09:03:10+00,2023-04-03 09:03:10.531658+00,50.04379653930664,14.408065795898438,96.61,245,-27.6,10.200000000000001,18,-0.2,4,10,4,1001.7
8115362,2023-04-03 09:03:11+00,2023-04-03 09:03:11.690859+00,50.04396057128906,14.408205032348633,97.92,244.5,-26.29,10,17.8,-0.2,4,10,4,1001.54375
8115363,2023-04-03 09:03:12+00,2023-04-03 09:03:13.304976+00,50.04412078857422,14.408340454101562,92.88,244.5,-31.33,9.600000000000001,17.6,-0.2,4,10,4,1002.1437500000001
8115364,2023-04-03 09:03:13+00,2023-04-03 09:03:13.538342+00,50.04427719116211,14.408472061157227,92.72,244,-31.49,9.200000000000001,17.6,-0.2,4,10,4,1002.1625
8115365,2023-04-03 09:03:14+00,2023-04-03 09:03:14.963329+00,50.044437408447266,14.408596992492676,93.45,243.5,-30.76,8.8,17.6,-0.2,4,10,4,1002.075
8115366,2023-04-03 09:03:15+00,2023-04-03 09:03:15.272404+00,50.044593811035156,14.408717155456543,94.35,243,-29.86,8.6,17.400000000000002,-0.2,4,10,4,1001.96875
8115367,2023-04-03 09:03:16+00,2023-04-03 09:03:16.741594+00,50.04474639892578,14.40882682800293,93.09,242.5,-31.12,7.800000000000001,16.6,-0.2,4,11,4,1002.1187500000001
8115368,2023-04-03 09:03:17+00,2023-04-03 09:03:17.74353+00,50.044883728027344,14.40892505645752,90.72,242.5,-33.49,6.800000000000001,15.4,0,4,11,3,1002.4000000000001
8115369,2023-04-03 09:03:18+00,2023-04-03 09:03:18.700356+00,50.04500961303711,14.409008026123047,85.11,242,-39.1,6,14,0,4,11,4,1003.06875
8115370,2023-04-03 09:03:19+00,2023-04-03 09:03:19.462279+00,50.045127868652344,14.409086227416992,86.32,242,-37.89,5.6000000000000005,13.200000000000001,0,4,11,3,1002.9250000000001
8115371,2023-04-03 09:03:20+00,2023-04-03 09:03:20.900596+00,50.04524230957031,14.409158706665039,85.06,242,-39.15,5.2,12.8,0,4,11,3,1003.075
8115372,2023-04-03 09:03:21+00,2023-04-03 09:03:21.839178+00,50.04536437988281,14.40923023223877,84.53,242,-39.68,5,13.4,0,4,11,4,1003.1375
8115373,2023-04-03 09:03:22+00,2023-04-03 09:03:22.309175+00,50.04549026489258,14.409300804138184,90.04,242,-34.17,4.800000000000001,14.4,0,4,11,4,1002.48125
8115374,2023-04-03 09:03:23+00,2023-04-03 09:03:23.93019+00,50.045631408691406,14.409369468688965,89.78,242.5,-34.43,4.800000000000001,15.4,0,4,11,4,1002.5125
8115375,2023-04-03 09:03:24+00,2023-04-03 09:03:24.568175+00,50.04578399658203,14.409438133239746,88.36,242.5,-35.85,4.800000000000001,16.400000000000002,0,4,11,3,1002.6812500000001
